tipo;categoria;cue;nombre;domicilio;turno;localidad;porcentaje_zona;zona
P.H.;1º;4600246;PABLO PIZZURNO;GREGORIO CHAVEZ Nº 150 ;M-T;LOS SARMIENTOS;10;D
;1º;4600310;TIMOREO GORDILLO;CAMINO DEL PEREGRINO S/N;M-T;MALLIGASTA;30;D
P.H.;1º;4600178;JOAQUIN V. GONZALEZ;JOAQUIN VICTOR GONZALEZ S/N;M-T;NONOGASTA;30;D
J.C.;1º;4600120;PCIA. DE CORDOBA;AVDA. SAN PEDRO S/N;M-T;FAMATINA;30;E
EMER;3º;4600121;DIRECTOR MIGUEL ROBADOR;CALLE PRINCIPAL S/N;M-T;PLAZA VIEJA;70;E
;1º;4600318;SARGENTO JUAN B. CABRAL;AVDA. SAN BUENAVENTURA ;M-T;VICHIGASTA;30;D
EMER;3º;4600118;RAMON A. LUJAN;BAJO CARRIZAL;M-T;BAJO CARRIZAL;55;E
;1º;4600250;PCIA. DE FORMOSA;SAN MARTIN S/N ;M;VILLA CASTELLI;70;G
;1º;4600324;HIPOLITO IRIGOYEN;CARLOS SAUL MENEM;M;VINCHINA;55;K
;1º;4600076;GREGORIA M. DE SAN MARTIN;CALLE PUBLICA S/N;M;MACHIGASTA;30;A
;1º;4600067;PCIA. DE TUCUMAN;MARIA POZZOLI Bº 10 DE MAYO;M-T;SANAGASTA;30;P
;3º;4600304;MAESTRO FRANCISCO TORRES MOLINA;SANTA LUCIA;M;SANTA LUCIA;70;L
;1º;4600440;ROSARIO VERA PEÑALOZA;SAN MARTIN S/N ;M;CATUNA;40;I
;1º;4600305;JUSTO JOSE DE URQUIZA;SAN MARTIN Nº 665 ;M;CHAÑAR;40;F
;1º;4600485;PCIA. DE SAN LUIS;GENERAL PAZ Nº 279;M-T;MILAGRO;40;I
;3º;4600398;JUAN R. DE VELAZCO;VILLA CHEPES;M;VILLA CHEPES;55;O
;1º;4600091;LA RIOJA ESPAÑOLA;AVDA. SAN FRANCISCO KM 3 1/2 ;M;LA RIOJA;;B
;1º;4600204;ALICIA CARRIZO ;HONORATO GUERRERO SUR Bº LOS PALACIOS;M-T;VILLA UNION;40;H
J.C.;1º;4600143;DOMINGO MATHEU;AVDA. CASTRO BARROS S/N ;M-T;AMINGA;30;C
;1º;4600361;AZUCENA DE LAS M. BAZAN DE AQUINES;INDEPENDENCIA S/N;M-T;PATQUIA;30;H
;2º;4600160;FRONTERAS ARGENTINAS;EMETERIO LAUTRE;M;SANTA CLARA;100;H
EMER;3º;4600294;JUAN FACUNDO SOTOMAYOR;ESQUINA DEL SUD;M;ESQUINA DEL SUD;100;F
;3º;4600127;VICTOR ARMANDO LEDEZMA;RUTA NAC. Nº 75;M;LAS PEÑAS;70;C
J.C.;1º;4600105;PCIA. DEL NEUQUEN;SALICAS;M-T;SALICAS;30;R
;;;;;;COMANDANTE LEAL;55;B
EMER;3º;4600278;ESCUELA 26;CORTADERAS;M;CORTADERAS;70;F
J.C.;1º;4600498;GOBERNADOR SANTA CRUZ;SAN MARTIN S/N ;M-T;ULAPES;30;J
;1º;4600227;HUMBRETO ALEJANDRO HERRERA ROBLEDO;CALLE SIN NOMBRE;M-T;GUANDACOL;100;H
;1º;4600248;PCIA. DE MENDOZA;Bº LA CALLE S/N;M;SAÑOGASTA;30;D
;3º;4600505;ESCUELA 30;SOLCA;M;SOLCA;70;N
;3º;4600261;PABLO M. LEAL;S/N;M-T;CHULO;100;L
;3º;4600089;CAUDILLOS RIOJANOS;EL CEBOLLAR;M;EL CEBOLLAR;55;B
;3º;4600111;PEDRO I. DE CASTRO BARROS;AVDA. CARLOS B. DEL MORAL S/N;M;ESTACION MAZAN;40;A
;3º;4600457;ANGEL C. PEREZ;JUAN FLORENTINO CACERES S/N;M;CHELCOS;55;O
;3º;4600450;MARIA ROSA TAPIA DE OROPEL;VILLA CASANA;M;VILLA CASANA;100;O
;3º;4600117;ARMADA ARGENTINA;ANTINACO;M;ANTINACO;100;E
;1º;4600189;PCIA. DE SANTA FE;CALLE SAAVEDRA S/N;M-T;LA RIOJA;;B
;;;;;;LA FLORIDA;100;F
;1º;4600157;TIMOTEO GORDILLO;BULNES Nº 1140;M-T;LA RIOJA;;B
;3º;4600496;MIS MONTAÑAS MINERAS;AMANA;M;AMANA;100;M
;2º;4600296;BERNARDINO RIVADAVIA;RIVADAVIA S/N;M;VILLA CASTELLI;70;G
